item,kind,defining_package,defining_module,visibility,public_path,compilation_cells,execution_models,resource_profiles,capability_roles,requirements,current_path,migration_action,status
WorkClass,type,clinkz-wot-foundation,budget,public,clinkz_wot_foundation::WorkClass,no-default|async-no-std|std,all,all,all,CONSTRAINED-WORK-001,foundation/src/budget.rs,replace,frozen
WorkBudget,type,clinkz-wot-foundation,budget,public,clinkz_wot_foundation::WorkBudget,no-default|async-no-std|std,all,all,all,API-SURFACE-001|CONSTRAINED-WORK-001,foundation/src/budget.rs,replace,frozen
BudgetExceeded,type,clinkz-wot-foundation,budget,public,clinkz_wot_foundation::BudgetExceeded,no-default|async-no-std|std,all,all,all,CONSTRAINED-WORK-001,foundation/src/budget.rs,replace,frozen
ResourceProfileId,type,clinkz-wot-foundation,resource,public,clinkz_wot_foundation::ResourceProfileId,no-default|async-no-std|std,all,all,all,RES-PROFILE-001,foundation/src/resource.rs,keep,frozen
ResourceLimits,type,clinkz-wot-foundation,resource,public,clinkz_wot_foundation::ResourceLimits,no-default|async-no-std|std,all,all,all,API-RESOURCE-001|RES-LIMIT-001,foundation/src/resource.rs,replace,frozen
StaticResourceProfile,trait,clinkz-wot-foundation,resource,public,clinkz_wot_foundation::StaticResourceProfile,no-default|async-no-std|std,manual-poll,application-static,all,RES-PROFILE-001|CONSTRAINED-STORAGE-002,foundation/src/resource.rs,replace,frozen
ResourceKind,type,clinkz-wot-foundation,resource,public,clinkz_wot_foundation::ResourceKind,no-default|async-no-std|std,all,all,all,RES-LIMIT-002,foundation/build.rs,replace,frozen
ResourceAccount,type,clinkz-wot-foundation,resource,public,clinkz_wot_foundation::ResourceAccount,no-default|async-no-std|std,all,all,all,API-RESOURCE-001|ADMIT-MEM-001,foundation/src/resource.rs,keep,frozen
ResourceReservation,type,clinkz-wot-foundation,resource,public,clinkz_wot_foundation::ResourceReservation,no-default|async-no-std|std,all,all,all,API-RESOURCE-001,foundation/src/resource.rs,keep,frozen
AdmissionLedger,type,clinkz-wot-foundation,resource,public,clinkz_wot_foundation::AdmissionLedger,no-default|async-no-std|std,all,all,all,API-RESOURCE-001|ADMIT-TXN-001,foundation/src/resource.rs,keep,frozen
ClockId,type,clinkz-wot-foundation,time,public,clinkz_wot_foundation::ClockId,no-default|async-no-std|std,all,all,all,TIME-001,absent,add,frozen
MonotonicInstant,type,clinkz-wot-foundation,time,public,clinkz_wot_foundation::MonotonicInstant,no-default|async-no-std|std,all,all,all,TIME-001,absent,add,frozen
RuntimeClock,trait,clinkz-wot-foundation,time,public,clinkz_wot_foundation::RuntimeClock,no-default|async-no-std|std,all,all,all,API-SURFACE-001|TIME-001,absent,add,frozen
SourceTimestamp,type,clinkz-wot-foundation,time,public,clinkz_wot_foundation::SourceTimestamp,no-default|async-no-std|std,all,all,all,API-SOURCE-TIME-001,absent,add,frozen
Generation,type,clinkz-wot-foundation,generation,public,clinkz_wot_foundation::Generation,no-default|async-no-std|std,all,all,all,API-TYPES-001,absent,add,frozen
SlotIndex,type,clinkz-wot-foundation,generation,public,clinkz_wot_foundation::SlotIndex,no-default|async-no-std|std,manual-poll,application-static,all,CONSTRAINED-STORAGE-001,absent,add,frozen
